jester: 27 classes
storing name: TSM_jester_RGB_resnet50_avg_segment8_e50_lr5e-03_npb_gp22

    Initializing TSN with base model: resnet50.
    TSN Configurations:
        input_modality:     RGB
        num_segments:       8
        new_length:         1
        consensus_module:   avg
        dropout_ratio:      0.5
        img_feature_dim:    256
            
=> base model: resnet50
#################### NO FLIP!!!
video clips:118562
video clips:14787
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
Epoch: [0][1400/2470], lr: 0.00500	Time 0.536 (0.546)	Data 0.000 (0.003)	Loss 1.5034 (1.8752)	Prec@1 45.833 (42.684)	Prec@5 87.500 (77.596)
Epoch: [0][1420/2470], lr: 0.00500	Time 0.535 (0.546)	Data 0.000 (0.003)	Loss 1.5104 (1.8697)	Prec@1 47.917 (42.794)	Prec@5 87.500 (77.721)
Epoch: [0][1440/2470], lr: 0.00500	Time 0.538 (0.546)	Data 0.000 (0.003)	Loss 1.5598 (1.8647)	Prec@1 47.917 (42.909)	Prec@5 93.750 (77.824)
Epoch: [0][1460/2470], lr: 0.00500	Time 0.531 (0.546)	Data 0.000 (0.003)	Loss 1.2015 (1.8595)	Prec@1 56.250 (43.018)	Prec@5 89.583 (77.916)
Epoch: [0][1480/2470], lr: 0.00500	Time 0.533 (0.546)	Data 0.000 (0.003)	Loss 1.6770 (1.8550)	Prec@1 45.833 (43.125)	Prec@5 77.083 (78.022)
Epoch: [0][1500/2470], lr: 0.00500	Time 0.536 (0.546)	Data 0.000 (0.003)	Loss 1.1510 (1.8502)	Prec@1 60.417 (43.234)	Prec@5 93.750 (78.156)
Epoch: [0][1520/2470], lr: 0.00500	Time 0.513 (0.545)	Data 0.000 (0.003)	Loss 1.7535 (1.8468)	Prec@1 41.667 (43.319)	Prec@5 79.167 (78.219)
Epoch: [0][1540/2470], lr: 0.00500	Time 0.524 (0.545)	Data 0.000 (0.003)	Loss 1.3109 (1.8413)	Prec@1 50.000 (43.431)	Prec@5 83.333 (78.324)
Epoch: [0][1560/2470], lr: 0.00500	Time 0.537 (0.545)	Data 0.000 (0.003)	Loss 1.5558 (1.8361)	Prec@1 54.167 (43.578)	Prec@5 83.333 (78.430)
Epoch: [0][1580/2470], lr: 0.00500	Time 0.562 (0.545)	Data 0.000 (0.002)	Loss 1.2388 (1.8333)	Prec@1 50.000 (43.635)	Prec@5 89.583 (78.501)
Epoch: [0][1600/2470], lr: 0.00500	Time 0.535 (0.545)	Data 0.000 (0.002)	Loss 1.2583 (1.8294)	Prec@1 52.083 (43.720)	Prec@5 89.583 (78.572)
Epoch: [0][1620/2470], lr: 0.00500	Time 0.533 (0.545)	Data 0.000 (0.002)	Loss 1.3742 (1.8259)	Prec@1 58.333 (43.798)	Prec@5 81.250 (78.647)
Epoch: [0][1640/2470], lr: 0.00500	Time 0.567 (0.545)	Data 0.000 (0.002)	Loss 1.4378 (1.8210)	Prec@1 50.000 (43.924)	Prec@5 81.250 (78.730)
Epoch: [0][1660/2470], lr: 0.00500	Time 0.532 (0.545)	Data 0.000 (0.002)	Loss 1.8154 (1.8173)	Prec@1 33.333 (44.005)	Prec@5 81.250 (78.794)
Epoch: [0][1680/2470], lr: 0.00500	Time 0.532 (0.545)	Data 0.000 (0.002)	Loss 1.6054 (1.8137)	Prec@1 41.667 (44.083)	Prec@5 85.417 (78.857)
Epoch: [0][1700/2470], lr: 0.00500	Time 0.537 (0.544)	Data 0.000 (0.002)	Loss 1.7577 (1.8095)	Prec@1 50.000 (44.198)	Prec@5 77.083 (78.939)
Epoch: [0][1720/2470], lr: 0.00500	Time 0.532 (0.544)	Data 0.000 (0.002)	Loss 1.2585 (1.8052)	Prec@1 66.667 (44.290)	Prec@5 89.583 (79.017)
Epoch: [0][1740/2470], lr: 0.00500	Time 0.532 (0.544)	Data 0.000 (0.002)	Loss 1.2523 (1.8000)	Prec@1 64.583 (44.412)	Prec@5 89.583 (79.112)
Epoch: [0][1760/2470], lr: 0.00500	Time 0.534 (0.544)	Data 0.000 (0.002)	Loss 1.3717 (1.7965)	Prec@1 52.083 (44.491)	Prec@5 85.417 (79.187)
Epoch: [0][1780/2470], lr: 0.00500	Time 0.536 (0.544)	Data 0.000 (0.002)	Loss 1.3376 (1.7920)	Prec@1 56.250 (44.591)	Prec@5 87.500 (79.274)
Epoch: [0][1800/2470], lr: 0.00500	Time 0.535 (0.544)	Data 0.000 (0.002)	Loss 1.2821 (1.7881)	Prec@1 56.250 (44.695)	Prec@5 83.333 (79.351)
Epoch: [0][1820/2470], lr: 0.00500	Time 0.540 (0.544)	Data 0.000 (0.002)	Loss 1.3435 (1.7838)	Prec@1 56.250 (44.814)	Prec@5 83.333 (79.439)
Epoch: [0][1840/2470], lr: 0.00500	Time 0.534 (0.544)	Data 0.000 (0.002)	Loss 1.2986 (1.7799)	Prec@1 52.083 (44.885)	Prec@5 87.500 (79.524)
Epoch: [0][1860/2470], lr: 0.00500	Time 0.533 (0.544)	Data 0.000 (0.002)	Loss 1.3980 (1.7760)	Prec@1 43.750 (44.984)	Prec@5 87.500 (79.593)
Epoch: [0][1880/2470], lr: 0.00500	Time 0.534 (0.544)	Data 0.000 (0.002)	Loss 1.5002 (1.7719)	Prec@1 52.083 (45.092)	Prec@5 83.333 (79.655)
Epoch: [0][1900/2470], lr: 0.00500	Time 0.534 (0.544)	Data 0.000 (0.002)	Loss 1.5414 (1.7691)	Prec@1 52.083 (45.152)	Prec@5 85.417 (79.737)
Epoch: [0][1920/2470], lr: 0.00500	Time 0.532 (0.544)	Data 0.000 (0.002)	Loss 1.2645 (1.7664)	Prec@1 58.333 (45.204)	Prec@5 89.583 (79.786)
Epoch: [0][1940/2470], lr: 0.00500	Time 0.534 (0.544)	Data 0.000 (0.002)	Loss 1.3369 (1.7621)	Prec@1 50.000 (45.291)	Prec@5 85.417 (79.859)
Epoch: [0][1960/2470], lr: 0.00500	Time 0.535 (0.543)	Data 0.000 (0.002)	Loss 1.2037 (1.7585)	Prec@1 64.583 (45.369)	Prec@5 89.583 (79.933)
Epoch: [0][1980/2470], lr: 0.00500	Time 0.532 (0.543)	Data 0.000 (0.002)	Loss 1.6722 (1.7557)	Prec@1 52.083 (45.438)	Prec@5 81.250 (79.987)
Epoch: [0][2000/2470], lr: 0.00500	Time 0.533 (0.543)	Data 0.000 (0.002)	Loss 1.2540 (1.7528)	Prec@1 64.583 (45.492)	Prec@5 87.500 (80.059)
Epoch: [0][2020/2470], lr: 0.00500	Time 0.533 (0.543)	Data 0.000 (0.002)	Loss 1.8148 (1.7501)	Prec@1 33.333 (45.556)	Prec@5 83.333 (80.104)
Epoch: [0][2040/2470], lr: 0.00500	Time 0.534 (0.543)	Data 0.000 (0.002)	Loss 1.2920 (1.7468)	Prec@1 52.083 (45.636)	Prec@5 85.417 (80.154)
Epoch: [0][2060/2470], lr: 0.00500	Time 0.534 (0.543)	Data 0.000 (0.002)	Loss 1.2351 (1.7436)	Prec@1 62.500 (45.714)	Prec@5 85.417 (80.218)
Epoch: [0][2080/2470], lr: 0.00500	Time 0.533 (0.543)	Data 0.000 (0.002)	Loss 1.5014 (1.7406)	Prec@1 56.250 (45.787)	Prec@5 83.333 (80.250)
Epoch: [0][2100/2470], lr: 0.00500	Time 0.534 (0.543)	Data 0.000 (0.002)	Loss 1.3496 (1.7379)	Prec@1 52.083 (45.839)	Prec@5 89.583 (80.309)
Epoch: [0][2120/2470], lr: 0.00500	Time 0.534 (0.543)	Data 0.000 (0.002)	Loss 1.4913 (1.7356)	Prec@1 58.333 (45.890)	Prec@5 83.333 (80.361)
Epoch: [0][2140/2470], lr: 0.00500	Time 0.537 (0.543)	Data 0.000 (0.002)	Loss 1.5270 (1.7336)	Prec@1 47.917 (45.935)	Prec@5 81.250 (80.392)
Epoch: [0][2160/2470], lr: 0.00500	Time 0.559 (0.543)	Data 0.000 (0.002)	Loss 1.5317 (1.7308)	Prec@1 47.917 (45.985)	Prec@5 77.083 (80.442)
